date,RF,MKT_RF,HML,SMB_O,RMW_O,CMA,UMD,R_ME,R_IA,R_ROE,R_MKT
1971-09-30,0.37,-0.841660091644441,-2.044301292653327,0.006772794209414641,2.194795886472214,-1.437690852581419,1.52532547231996,-0.622622222222222,-0.20079999999999912,-0.5323333333333347,-0.841660091644441
1971-10-31,0.37,-4.409315502959419,-0.39755688910900555,-1.8512488752205685,1.0953437653952398,-1.1842621914177975,-0.21025146305419629,-3.2783139981148213,1.051478290674968,4.846630950877428,-4.409315502959419
1971-11-30,0.37,-0.43509094062088455,-1.4793692199447954,-3.0320610537597306,2.129604035140398,-0.24267926421918345,1.5809473232797613,-2.598359588888655,0.5913541569832891,2.54374460795571,-0.43509094062088455
1971-12-31,0.37,8.602006877059116,-0.8486247291086224,3.4310786727211484,-0.0964277712615651,-1.8647223723193362,-0.28712656294622096,2.584336237306221,-0.8144641622088713,-0.3007470549034963,8.602006877059116
1972-01-31,0.29,2.347724378660006,1.5547287248009865,6.327749564727098,-1.9013200010752092,0.4361743919809613,0.5478775354507832,5.747500292386685,0.8033193264262716,-4.130600070527022,2.347724378660006
1972-02-29,0.25,2.7461227221763678,-2.5774947497684266,0.9255049680330418,1.984189442160088,-0.5124022633757215,2.6832238989251085,-0.006703465791504628,1.5143288313157897,2.849952385617712,2.7461227221763678
1972-03-31,0.27,0.6827401162097725,-2.3370235547252247,-0.42516832350308686,1.6919043162899068,-0.010937627378087678,3.41831563296207,-0.839202881329762,0.924256964553503,2.8685670011538447,0.6827401162097725
1972-04-30,0.29,0.33337030113742144,0.4468674683621131,0.14838942722682935,-0.21687580582529253,-1.292393472215543,2.486858212997535,0.10094219626000298,-1.0967667101946925,0.14089191827626407,0.33337030113742144
1972-05-31,0.3,1.2480447084723707,-2.022793374354976,-3.1361808093500163,2.380990632609356,-1.859647574608208,3.703399318974278,-2.9333212481977204,-1.2267371945101173,1.9064089362842824,1.2480447084723707
1972-06-30,0.29,-2.4681045530634913,-1.7776769360779072,-0.6291238082509918,1.6670814356828891,-0.46458136865879196,2.181331837260922,0.26805097171085435,-0.13889228747125887,3.2730565816717423,-2.4681045530634913
1972-07-31,0.31,-0.7479809412510017,0.39405240789959084,-2.878539485740464,1.5126588202504827,-0.9442199543408658,2.7686493901193847,-1.8553348015544857,-0.23841494901686802,2.675813699906378,-0.7479809412510017
1972-08-31,0.29,3.245416643532281,4.645428413605164,-3.2817934826065915,-2.143869920053203,2.800409328374073,-6.179530317774207,-3.415293730784299,3.366185815527759,-2.191460226941463,3.245416643532281
1972-09-30,0.34,-1.1134374611665068,0.32785942413131064,-2.0291807523434895,1.7893422387630138,-1.8961645751945395,1.6762549180042086,-0.600769651833185,-1.5160238547141152,1.7270952770068,-1.1134374611665068
1972-10-31,0.4,0.567572269904137,1.012703876630464,-2.357541651833275,-0.1329817450873116,0.30430708708750864,0.6375518326236298,-3.0121538390460825,-0.32253618137506135,-0.3821119541836039,0.567572269904137
1972-11-30,0.37,4.58116548087034,4.297119947207271,-0.26717850564223095,-2.289282580903818,3.279605139056989,-5.270757350929262,-0.6546913517540168,2.883015499505598,-4.026539893940612,4.58116548087034
1972-12-31,0.37,0.6053206078090484,-2.3912880066995577,-1.709783165764843,2.9203951469693363,-2.220039865206326,5.409256398727109,-1.942665888648765,-2.2892374542044642,2.010839903870744,0.6053206078090484
1973-01-31,0.44,-3.040465374590775,2.3780810453549694,-3.1287330164990603,0.459671335128637,0.057025113022144414,2.8773202454462767,-2.8725621685695804,0.26443654161454155,-0.002799021431387179,-3.040465374590775
1973-02-28,0.41,-4.55249672269123,1.5546803534102491,-3.946431230828625,-0.5463510936613734,-0.29995795265088465,1.7314535755166789,-4.426136540588356,-0.16770652271219433,-0.9260922359801935,-4.55249672269123
1973-03-31,0.46,-1.052627578088353,2.7343282186844355,-2.2866868425776614,-0.7991422362360059,0.2486755920073465,3.196808799800097,-1.6596602873133277,0.7897363470463017,-1.3310715099278836,-1.052627578088353
1973-04-30,0.52,-5.13043686060869,6.060584707607309,-3.187995850208395,-2.207842616432565,2.6243308985004785,6.145741339629243,-2.4946171839766498,2.620270344470525,-0.7102113468121314,-5.13043686060869
1973-05-31,0.51,-2.57306175468812,0.5334724493481957,-6.034918390715107,1.6138635907448693,-1.514444634190459,7.22913189723918,-5.2755785846321,-0.2697121728812893,1.8991960158580672,-2.57306175468812
1973-06-30,0.51,-1.412715501365932,1.0435381945138271,-2.539313381829061,0.05674245514016141,-0.2310161102137105,3.979382017667023,-1.8784665343017515,0.46866142696920576,-0.24552146679355205,-1.412715501365932
1973-07-31,0.64,4.993484202134585,-5.414482861771393,7.205415634254427,0.19572164411097015,-3.149425170739871,-11.641281461285637,7.94509626438764,-5.739603269897566,1.5641506703079124,4.993484202134585
1973-08-31,0.7,-3.80146194217615,0.9548019982669592,-1.7432910381308453,-1.1915017067780798,1.286659583152984,3.260345917546691,-1.7966878439846314,2.501022205888236,1.571311410628367,-3.80146194217615
1973-09-30,0.68,4.807212007045981,2.526355252240437,3.58693872395839,-2.631751076895746,1.895867541445778,-5.505909309180235,5.197465084610982,1.8263578222749157,-2.0284325068209648,4.807212007045981
1973-10-31,0.65,-0.8619395565988852,1.224027404762743,-0.13539017186606178,-1.4897518049367688,2.62380397866158,6.425721066194233,-1.1768977054578011,3.7585535177134997,-0.2799778949795164,-0.8619395565988852
