year,month,rank_ME,rank_IA,rank_ROE,nstocks,ret_vw,retx_vw
1967,7,2,1,1,38,6.0175,5.7358
1967,7,2,1,2,62,5.1109,4.9235
1967,7,2,1,3,16,9.2073,9.1415
1967,7,2,2,1,44,6.9964,6.8375
1967,7,2,2,2,102,6.8410,6.7956
1967,7,2,2,3,59,4.0125,3.9143
1967,7,2,3,1,34,1.1872,1.1466
1967,7,2,3,2,47,4.2155,4.2036
1967,7,2,3,3,73,3.9378,3.9195
1967,8,1,1,1,99,1.2100,0.7066
1967,8,1,1,2,39,0.4986,0.2061
1967,8,1,1,3,27,1.2052,0.6709
1967,8,1,2,1,65,0.8020,0.3734
1967,8,1,2,2,52,-0.8168,-1.3207
1967,8,1,2,3,46,2.5452,2.2917
1967,8,1,3,1,56,-0.1789,-0.4052
1967,8,1,3,2,47,-3.8698,-4.1214
1967,8,1,3,3,66,-1.3250,-1.4597
1967,8,2,1,1,25,1.5880,0.9394
1967,8,2,1,2,57,-1.6545,-2.4310
1967,8,2,1,3,29,-0.4602,-1.2724
1967,8,2,2,1,36,3.0685,2.4875
1967,8,2,2,2,97,-1.3523,-1.8219
1967,8,2,2,3,61,-0.5179,-0.8407
1967,8,2,3,1,26,-2.0045,-2.3464
1967,8,2,3,2,56,-1.3035,-1.6111
1967,8,2,3,3,59,-0.5352,-0.9026
1967,9,1,1,1,100,5.1390,4.9051
1967,9,1,1,2,36,6.3681,6.0359
1967,9,1,1,3,31,2.8881,2.6633
1967,9,1,2,1,70,4.1534,3.8772
1967,9,1,2,2,48,6.4080,6.3218
1967,9,1,2,3,47,3.1711,2.9775
1967,9,1,3,1,55,6.0264,5.7935
1967,9,1,3,2,50,2.7254,2.4442
1967,9,1,3,3,65,7.0610,6.9504
1967,9,2,1,1,22,0.8708,0.7528
1967,9,2,1,2,56,4.0830,3.9573
1967,9,2,1,3,33,2.6992,2.6554
1967,9,2,2,1,35,4.7366,4.5798
1967,9,2,2,2,103,2.2328,2.0530
1967,9,2,2,3,57,4.4282,4.2692
1967,9,2,3,1,24,0.6633,0.5288
1967,9,2,3,2,51,2.1524,2.0490
1967,9,2,3,3,66,5.8562,5.8058
1967,10,1,1,1,101,-4.3473,-4.5416
1967,10,1,1,2,34,-7.0635,-7.1809
1967,10,1,1,3,33,-2.0666,-2.2236
1967,10,1,2,1,67,-2.3620,-2.5060
1967,10,1,2,2,49,-2.6050,-2.7084
1967,10,1,2,3,53,1.0223,0.7698
1967,10,1,3,1,54,-3.8419,-3.8734
1967,10,1,3,2,53,-2.8240,-2.9506
1967,10,1,3,3,64,-4.0046,-4.0709
1967,10,2,1,1,22,-8.9663,-9.1642
1967,10,2,1,2,57,-3.6149,-3.8388
1967,10,2,1,3,31,-5.4622,-5.6340
1967,10,2,2,1,36,-3.8405,-3.9398
1967,10,2,2,2,102,-3.9997,-4.1617
1967,10,2,2,3,58,-2.7173,-2.8235
1967,10,2,3,1,24,-9.2779,-9.4211
1967,10,2,3,2,53,2.7240,2.6762
1967,10,2,3,3,64,0.3031,0.2792
1967,11,1,1,1,90,-1.8890,-2.4734
1967,11,1,1,2,46,-1.3249,-1.6578
1967,11,1,1,3,37,0.2204,-0.0204
1967,11,1,2,1,66,-0.3240,-0.7268
1967,11,1,2,2,43,-0.2875,-0.8527
1967,11,1,2,3,60,1.5801,1.3743
1967,11,1,3,1,48,3.2955,3.0750
1967,11,1,3,2,51,3.0471,2.8001
1967,11,1,3,3,73,1.0606,0.8767
1967,11,2,1,1,36,-0.6233,-1.2998
1967,11,2,1,2,58,0.1492,-0.6429
1967,11,2,1,3,15,-1.1505,-2.7862
1967,11,2,2,1,40,-0.5641,-1.0667
1967,11,2,2,2,96,0.4538,-0.0455
1967,11,2,2,3,58,2.3823,2.0039
1967,11,2,3,1,16,2.3204,1.9626
1967,11,2,3,2,51,0.1896,-0.3250
1967,11,2,3,3,73,2.2841,2.0817
1967,12,1,1,1,90,7.7908,7.6027
1967,12,1,1,2,42,4.6817,4.2560
1967,12,1,1,3,42,9.6576,9.3411
1967,12,1,2,1,62,3.9978,3.6475
1967,12,1,2,2,47,5.0677,4.8982
1967,12,1,2,3,58,8.2647,8.0284
1967,12,1,3,1,48,9.0051,8.6779
1967,12,1,3,2,50,7.2747,7.1274
1967,12,1,3,3,74,8.6223,8.4260
1967,12,2,1,1,37,3.6593,3.4802
1967,12,2,1,2,58,3.5067,3.4139
1967,12,2,1,3,14,1.8464,1.8329
1967,12,2,2,1,40,3.8661,3.6372
1967,12,2,2,2,94,3.1565,3.0101
1967,12,2,2,3,59,1.7970,1.6223
1967,12,2,3,1,18,0.3188,0.1155
1967,12,2,3,2,50,2.7135,2.6358
1967,12,2,3,3,73,2.6508,2.5911
1968,1,1,1,1,89,2.2987,2.0691
1968,1,1,1,2,46,2.4552,2.3069
1968,1,1,1,3,39,4.9299,4.8052
1968,1,1,2,1,61,2.5573,2.4835
1968,1,1,2,2,49,3.2149,2.9393
1968,1,1,2,3,55,-2.4999,-2.6342
1968,1,1,3,1,47,2.1641,2.0926
1968,1,1,3,2,49,-3.0120,-3.1206
1968,1,1,3,3,77,-1.3616,-1.4438
1968,1,2,1,1,40,0.3802,-0.1412
1968,1,2,1,2,54,-1.6565,-1.9900
1968,1,2,1,3,15,-2.5718,-2.5933
1968,1,2,2,1,39,-2.2735,-2.4288
1968,1,2,2,2,93,-3.1699,-3.3601
1968,1,2,2,3,61,-7.2906,-7.3734
1968,1,2,3,1,18,-4.3462,-4.3820
1968,1,2,3,2,50,-7.4848,-7.7867
1968,1,2,3,3,73,-7.9572,-7.9854
1968,2,1,1,1,81,-3.9248,-4.4142
1968,2,1,1,2,48,-4.9312,-5.3795
1968,2,1,1,3,44,-1.8096,-1.8900
1968,2,1,2,1,51,-2.1303,-2.5492
1968,2,1,2,2,55,-4.8522,-5.2739
1968,2,1,2,3,55,-4.2324,-4.4880
1968,2,1,3,1,56,-5.5383,-5.7377
1968,2,1,3,2,48,-6.5762,-6.7834
1968,2,1,3,3,68,-8.1653,-8.2818
1968,2,2,1,1,41,-2.4093,-3.2325
1968,2,2,1,2,51,-1.1463,-1.7671
1968,2,2,1,3,17,-1.1857,-1.7802
1968,2,2,2,1,43,-3.5013,-4.1027
1968,2,2,2,2,90,-1.9492,-2.4138
1968,2,2,2,3,59,-3.6778,-3.9967
1968,2,2,3,1,22,-2.8333,-3.3530
1968,2,2,3,2,47,-4.1730,-4.4688
1968,2,2,3,3,67,-3.5778,-3.7970
1968,3,1,1,1,80,-1.7596,-2.0025
1968,3,1,1,2,54,-1.1935,-1.4672
1968,3,1,1,3,41,-0.1512,-0.4193
1968,3,1,2,1,51,-0.7658,-1.0180
1968,3,1,2,2,60,-2.0711,-2.2367
1968,3,1,2,3,54,1.3779,1.1877
1968,3,1,3,1,58,-4.5507,-4.6633
1968,3,1,3,2,46,-2.6206,-2.9704
1968,3,1,3,3,67,-0.9703,-1.1490
1968,3,2,1,1,39,-1.8960,-1.9857
1968,3,2,1,2,53,-0.7428,-0.8747
1968,3,2,1,3,17,-1.7003,-1.7842
1968,3,2,2,1,42,0.3015,0.1043
1968,3,2,2,2,87,0.0581,-0.0797
1968,3,2,2,3,63,2.7412,2.6030
1968,3,2,3,1,26,3.4563,3.3305
1968,3,2,3,2,45,-2.3992,-2.4668
1968,3,2,3,3,65,4.5393,4.4667
1968,4,1,1,1,79,11.3078,11.0900
1968,4,1,1,2,55,13.1815,13.0249
1968,4,1,1,3,43,18.4131,18.2127
1968,4,1,2,1,50,11.1339,11.0236
1968,4,1,2,2,59,9.2058,8.9103
1968,4,1,2,3,55,19.4733,19.3064
1968,4,1,3,1,57,13.5073,13.4081
1968,4,1,3,2,50,13.8413,13.7797
1968,4,1,3,3,65,19.8790,19.7626
1968,4,2,1,1,40,7.7992,7.5925
1968,4,2,1,2,53,5.7528,5.4247
1968,4,2,1,3,16,6.8182,6.4701
1968,4,2,2,1,42,9.4437,9.2687
1968,4,2,2,2,88,7.9385,7.7531
1968,4,2,2,3,62,10.1660,10.0449
1968,4,2,3,1,26,11.7739,11.7618
1968,4,2,3,2,43,8.8456,8.8131
1968,4,2,3,3,68,11.8784,11.8496
1968,5,1,1,1,85,6.2068,5.8103
1968,5,1,1,2,59,7.6618,7.2581
1968,5,1,1,3,52,9.1190,8.9013
1968,5,1,2,1,56,6.1245,5.6593
1968,5,1,2,2,65,6.5579,6.2184
1968,5,1,2,3,50,12.3417,12.1231
1968,5,1,3,1,55,8.6427,8.3410
1968,5,1,3,2,49,7.5095,7.2733
1968,5,1,3,3,77,10.9392,10.8397
1968,5,2,1,1,37,1.6549,1.0600
1968,5,2,1,2,63,-0.1342,-0.7503
1968,5,2,1,3,15,-0.1428,-1.4142
1968,5,2,2,1,42,-0.1510,-0.7397
1968,5,2,2,2,91,0.0656,-0.3640
1968,5,2,2,3,72,2.0500,1.7776
1968,5,2,3,1,37,4.7271,4.2803
1968,5,2,3,2,50,1.5742,0.9973
1968,5,2,3,3,60,4.6798,4.4649
1968,6,1,1,1,88,1.0531,0.8452
1968,6,1,1,2,60,2.3822,2.2034
1968,6,1,1,3,46,2.1717,1.9199
1968,6,1,2,1,59,1.3727,1.1833
1968,6,1,2,2,56,-0.2291,-0.3698
1968,6,1,2,3,54,0.8132,0.6715
1968,6,1,3,1,58,-2.6914,-2.8190
1968,6,1,3,2,53,0.4992,0.2705
1968,6,1,3,3,71,-1.3606,-1.5058
1968,6,2,1,1,36,1.2857,1.1662
1968,6,2,1,2,63,2.4354,2.2828
1968,6,2,1,3,15,1.0362,1.0149
1968,6,2,2,1,45,2.6059,2.4514
1968,6,2,2,2,90,2.5156,2.3127
1968,6,2,2,3,70,-0.6729,-0.8577
1968,6,2,3,1,35,-0.3374,-0.4200
1968,6,2,3,2,54,-0.6738,-0.7589
1968,6,2,3,3,58,-0.0565,-0.0974
1968,7,1,1,1,156,-0.8055,-0.8730
1968,7,1,1,2,79,-2.1400,-2.2628
1968,7,1,1,3,60,-2.1039,-2.3253
1968,7,1,2,1,83,-3.7233,-3.8377
1968,7,1,2,2,63,-1.6394,-1.9155
1968,7,1,2,3,60,-3.3616,-3.5038
1968,7,1,3,1,57,-3.8488,-3.8903
1968,7,1,3,2,65,-4.8234,-4.9439
1968,7,1,3,3,106,-7.0538,-7.1166
1968,7,2,1,1,39,-0.9898,-1.2365
1968,7,2,1,2,45,-0.8557,-1.0822
1968,7,2,1,3,22,-1.9889,-2.0491
1968,7,2,2,1,42,-1.5943,-1.8017
1968,7,2,2,2,104,1.5669,1.3499
1968,7,2,2,3,59,-5.3117,-5.3461
1968,7,2,3,1,25,-2.3331,-2.5474
1968,7,2,3,2,60,-1.9854,-2.0700
1968,7,2,3,3,74,-5.2726,-5.2919
1968,8,1,1,1,146,6.2193,5.8920
1968,8,1,1,2,68,2.7082,2.2642
1968,8,1,1,3,57,5.5532,5.1772
1968,8,1,2,1,84,2.6570,2.3318
1968,8,1,2,2,62,3.1112,2.7789
1968,8,1,2,3,48,4.8162,4.5163
1968,8,1,3,1,63,3.1430,2.8495
1968,8,1,3,2,64,2.7803,2.5682
1968,8,1,3,3,86,4.8682,4.7452
1968,8,2,1,1,31,4.5811,3.8562
1968,8,2,1,2,44,1.1016,0.4419
1968,8,2,1,3,22,0.8938,-0.0249
1968,8,2,2,1,40,2.0568,1.5382
1968,8,2,2,2,98,0.7842,0.2962
1968,8,2,2,3,65,0.4551,0.1294
1968,8,2,3,1,27,2.6912,2.4104
1968,8,2,3,2,65,2.9515,2.5781
1968,8,2,3,3,62,0.7650,0.4721
1968,9,1,1,1,144,7.6306,7.4351
1968,9,1,1,2,70,4.9437,4.7116
